name
Phoenicibacter congonensis
Enterococcus hirae
Streptococcus constellatus
Glaesserella parasuis
Clostridium botulinum
Kingella kingae
Acinetobacter haemolyticus
Anaerococcus mediterraneensis
Enterococcus avium
Lachnospiraceae bacterium
Staphylococcus pasteuri
Staphylococcus simulans
Bifidobacterium gallinarum
Jeotgalibaca ciconiae
Bacillus anthracis
Burkholderia dolosa
Peptoniphilus harei
Enterococcus faecalis
Campylobacter coli
Pseudomonas putida
Burkholderia lata
